29.5821,3.27021,-17.2659,24.0608,-12.3162,-27.3311,-0.412547,1.66412,-1.05093,-1.14963,1.46348,-0.514487,3.9
29.5613,3.35339,-17.3183,24.0032,-12.2429,-27.3565,-0.422767,1.6631,-1.04487,-1.15796,1.46764,-0.505141,4
29.5399,3.43652,-17.3704,23.945,-12.1694,-27.3816,-0.432992,1.66205,-1.03879,-1.16628,1.47178,-0.495778,4.1
29.518,3.5196,-17.4222,23.8865,-12.0957,-27.4061,-0.443223,1.66098,-1.03268,-1.17458,1.4759,-0.486396,4.2
29.4955,3.60262,-17.4737,23.8276,-12.0218,-27.4302,-0.453459,1.65988,-1.02654,-1.18288,1.48,-0.476997,4.3
29.4726,3.68559,-17.5249,23.7682,-11.9477,-27.4538,-0.463701,1.65875,-1.02037,-1.19117,1.48407,-0.467579,4.4
29.4492,3.76849,-17.5757,23.7085,-11.8734,-27.477,-0.473949,1.65759,-1.01418,-1.19945,1.48812,-0.458143,4.5
29.4252,3.85134,-17.6263,23.6483,-11.7989,-27.4996,-0.484203,1.65641,-1.00795,-1.20772,1.49215,-0.448688,4.6
29.4008,3.93413,-17.6765,23.5877,-11.7242,-27.5218,-0.494463,1.65519,-1.0017,-1.21598,1.49616,-0.439215,4.7
29.3758,4.01686,-17.7265,23.5267,-11.6493,-27.5436,-0.504729,1.65395,-0.995416,-1.22423,1.50015,-0.429723,4.8
29.3503,4.09953,-17.7761,23.4653,-11.5742,-27.5648,-0.515002,1.65269,-0.989105,-1.23247,1.50411,-0.420211,4.9
29.3243,4.18213,-17.8254,23.4034,-11.4989,-27.5856,-0.525281,1.65139,-0.982765,-1.24071,1.50805,-0.410681,5
29.2977,4.26467,-17.8743,23.3412,-11.4234,-27.6059,-0.535567,1.65007,-0.976396,-1.24894,1.51196,-0.401131,5.1
29.2707,4.34714,-17.923,23.2786,-11.3477,-27.6257,-0.54586,1.64871,-0.969997,-1.25715,1.51586,-0.391562,5.2
29.2432,4.42954,-17.9713,23.2155,-11.2718,-27.645,-0.55616,1.64734,-0.963568,-1.26536,1.51973,-0.381973,5.3
29.2151,4.51187,-18.0194,23.152,-11.1957,-27.6639,-0.566468,1.64593,-0.957109,-1.27356,1.52358,-0.372364,5.4
29.1865,4.59413,-18.0671,23.0881,-11.1195,-27.6823,-0.576782,1.64449,-0.950621,-1.28175,1.5274,-0.362736,5.5
29.1574,4.67632,-18.1144,23.0238,-11.043,-27.7002,-0.587104,1.64303,-0.944102,-1.28994,1.53121,-0.353087,5.6
29.1278,4.75843,-18.1615,22.9591,-10.9663,-27.7176,-0.597433,1.64153,-0.937553,-1.29811,1.53499,-0.343417,5.7
