12,5,3,0.9,0.2,0.5,0
40,0,-19.9979,34.6423,-20.0043,-34.6385,0
39.9983,0.0116656,-20.0195,34.6339,-19.9859,-34.6469,0.1
39.9966,0.0233302,-20.0412,34.6255,-19.9676,-34.6552,0.2
39.9949,0.0349937,-20.0628,34.6172,-19.9492,-34.6635,0.3
39.9932,0.0466562,-20.0844,34.6088,-19.9309,-34.6718,0.4
39.9915,0.0583176,-20.1061,34.6004,-19.9125,-34.68,0.5
39.9897,0.0699779,-20.1277,34.592,-19.8941,-34.6883,0.6
39.988,0.0816372,-20.1493,34.5835,-19.8757,-34.6966,0.7
39.9862,0.0932953,-20.1709,34.5751,-19.8573,-34.7048,0.8
39.9844,0.104952,-20.1925,34.5666,-19.8389,-34.713,0.9
39.9826,0.116608,-20.214,34.5582,-19.8205,-34.7212,1
39.9808,0.128263,-20.2356,34.5497,-19.802,-34.7295,1.1
39.979,0.139917,-20.2572,34.5412,-19.7836,-34.7377,1.2
39.9772,0.15157,-20.2787,34.5327,-19.7651,-34.7458,1.3
39.9753,0.163221,-20.3002,34.5242,-19.7467,-34.754,1.4
39.9735,0.174871,-20.3218,34.5156,-19.7282,-34.7622,1.5
39.9716,0.186521,-20.3433,34.5071,-19.7097,-34.7703,1.6
39.9697,0.198169,-20.3648,34.4985,-19.6912,-34.7785,1.7
39.9678,0.209816,-20.3863,34.4899,-19.6727,-34.7866,1.8
39.9659,0.221462,-20.4078,34.4814,-19.6542,-34.7947,1.9
39.964,0.233106,-20.4293,34.4727,-19.6357,-34.8028,2
39.9621,0.24475,-20.4508,34.4641,-19.6172,-34.8109,2.1
39.9601,0.256392,-20.4722,34.4555,-19.5987,-34.819,2.2
39.9582,0.268033,-20.4937,34.4469,-19.5801,-34.827,2.3
39.9562,0.279673,-20.5151,34.4382,-19.5616,-34.8351,2.4
39.9542,0.291311,-20.5366,34.4295,-19.543,-34.8431,2.5
39.9522,0.302949,-20.558,34.4208,-19.5245,-34.8512,2.6
39.9502,0.314585,-20.5794,34.4121,-19.5059,-34.8592,2.7
39.9482,0.32622,-20.6008,34.4034,-19.4873,-34.8672,2.8
39.9462,0.337854,-20.6222,34.3947,-19.4687,-34.8752,2.9
39.9441,0.349487,-20.6436,34.386,-19.4501,-34.8832,3
39.9421,0.361118,-20.665,34.3772,-19.4315,-34.8912,3.1
39.94,0.372748,-20.6864,34.3685,-19.4129,-34.8991,3.2
39.9379,0.384377,-20.7078,34.3597,-19.3942,-34.9071,3.3
39.9358,0.396005,-20.7291,34.3509,-19.3756,-34.915,3.4
39.9337,0.407631,-20.7505,34.3421,-19.357,-34.923,3.5
39.9316,0.419256,-20.7718,34.3333,-19.3383,-34.9309,3.6
39.9295,0.43088,-20.7931,34.3244,-19.3196,-34.9388,3.7
39.9273,0.442503,-20.8145,34.3156,-19.301,-34.9467,3.8
39.9251,0.454124,-20.8358,34.3067,-19.2823,-34.9546,3.9
39.923,0.465744,-20.8571,34.2979,-19.2636,-34.9624,4
39.9208,0.477362,-20.8784,34.289,-19.2449,-34.9703,4.1
39.9186,0.48898,-20.8997,34.2801,-19.2262,-34.9781,4.2
39.9164,0.500596,-20.9209,34.2712,-19.2075,-34.986,4.3
39.9142,0.51221,-20.9422,34.2622,-19.1887,-34.9938,4.4
39.9119,0.523824,-20.9634,34.2533,-19.17,-35.0016,4.5
39.9097,0.535436,-20.9847,34.2444,-19.1513,-35.0094,4.6
39.9074,0.547047,-21.0059,34.2354,-19.1325,-35.0172,4.7
39.9051,0.558656,-21.0272,34.2264,-19.1137,-35.025,4.8
39.9029,0.570264,-21.0484,34.2174,-19.095,-35.0328,4.9
39.9006,0.58187,-21.0696,34.2084,-19.0762,-35.0405,5
39.8983,0.593476,-21.0908,34.1994,-19.0574,-35.0482,5.1
39.8959,0.60508,-21.112,34.1904,-19.0386,-35.056,5.2
39.8936,0.616682,-21.1332,34.1813,-19.0198,-35.0637,5.3
39.8912,0.628283,-21.1543,34.1723,-19.001,-35.0714,5.4
